Wall time,Step,Value
1756551441.83331,0,0.9064653515815735
1756551484.702727,1,0.6468415856361389
1756551527.042418,2,0.5619667172431946
1756551569.175374,3,0.5224701166152954
1756551611.474042,4,0.4997222423553467
1756551652.877756,5,0.48186174035072327
1756551695.129993,6,0.4673125147819519
1756551736.686496,7,0.453294038772583
1756551779.207197,8,0.44207900762557983
1756551821.4474,9,0.4322867691516876
1756551863.789428,10,0.4235573709011078
1756551905.532279,11,0.41424450278282166
1756551947.642526,12,0.40719372034072876
1756551989.661209,13,0.40438202023506165
1756552032.929063,14,0.39682891964912415
1756552074.863161,15,0.3930515646934509
1756552116.671094,16,0.3894520699977875
1756552158.313496,17,0.3857377767562866
1756552199.907266,18,0.3788992762565613
1756552242.008884,19,0.3771055042743683
1756552284.994458,20,0.3726731240749359
1756552327.290427,21,0.36935293674468994
1756552369.509288,22,0.3642849028110504
1756552410.986342,23,0.364877849817276
1756552452.574156,24,0.3642120957374573
1756552495.683966,25,0.3609078824520111
1756552538.458301,26,0.3553435802459717
1756552581.005176,27,0.35465872287750244
1756552623.904852,28,0.34953761100769043
1756552665.327053,29,0.34922778606414795
1756552706.795177,30,0.3467743396759033
1756552748.650808,31,0.3447950482368469
1756552791.120097,32,0.34473147988319397
1756552833.168402,33,0.34499624371528625
1756552875.378789,34,0.34114521741867065
1756552916.958699,35,0.3400496542453766
1756552958.91621,36,0.3381480872631073
1756553001.916387,37,0.334810346364975
1756553044.241717,38,0.3342338800430298
1756553086.16081,39,0.331601083278656
1756553128.309781,40,0.3315551280975342
1756553171.419539,41,0.32107946276664734
1756553213.629337,42,0.31844374537467957
1756553255.774439,43,0.3160763382911682
1756553297.286898,44,0.3182604908943176
1756553340.237675,45,0.31570684909820557
1756553382.042479,46,0.3161364197731018
1756553424.177243,47,0.3156971335411072
1756553467.214871,48,0.31425267457962036
1756553509.6674,49,0.3145683705806732
1756553551.623174,50,0.3134118318557739
1756553594.175129,51,0.3111262023448944
1756553636.978677,52,0.3117879033088684
1756553679.32685,53,0.3129270076751709
1756553720.796131,54,0.3100472688674927
1756553763.771749,55,0.3117355704307556
1756553806.396914,56,0.3098294138908386
1756553848.725435,57,0.30844107270240784
1756553890.536104,58,0.3083873391151428
1756553932.51098,59,0.3067936301231384
1756553974.466863,60,0.302669882774353
1756554016.624401,61,0.30215731263160706
1756554059.438554,62,0.3001124858856201
1756554100.308429,63,0.29906368255615234
1756554142.667155,64,0.29829007387161255
1756554185.053536,65,0.29989245533943176
1756554227.267425,66,0.2995317280292511
1756554269.149386,67,0.2987948954105377
1756554311.444003,68,0.297718346118927
1756554354.037727,69,0.29961663484573364
1756554397.190417,70,0.2969059646129608
1756554440.069424,71,0.2979007661342621
1756554481.469896,72,0.29501622915267944
1756554524.30433,73,0.29666900634765625
1756554567.453486,74,0.29587891697883606
1756554608.911721,75,0.2971322238445282
